cluster id	Enrichment	Category	COG
GC_00000620	0.5028506919776455	L	Superfamily II DNA and RNA helicase
GC_00000621	0.3628956988510275	H	Protoheme ferro-lyase (ferrochelatase)
GC_00000626	0.6553385291750634	M	UTP-glucose-1-phosphate uridylyltransferase
GC_00000627	0.46817511776768067	R	"Integral membrane protein, interacts with FtsH"
GC_00000624	0.5447419678888821	J	"Glycyl-tRNA synthetase, alpha subunit"
GC_00000625	0.3628956988510275	E	Threonine dehydratase
GC_00000569	0.29000994729334484	D	"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain"
GC_00000568	0.3628956988510275	O	Predicted ATP-dependent serine protease
GC_00000715	0.46817511776768067	E	Xaa-Pro aminopeptidase
GC_00000561	0.3628956988510275	I	Fatty acid/phospholipid biosynthesis enzyme
GC_00000244	0.43728735436651395	L	Superfamily I DNA or RNA helicase
GC_00000563	0.5447419678888821	J	Ribosomal protein S15P/S13E
GC_00000562	0.3628956988510275	D	GTP-binding protein EngB required for normal cell division
GC_00000565	0.46817511776768067	R	"Predicted RNA-binding protein YlxR, DUF448 family"
GC_00000564	0.29000994729334484	H	Molybdopterin-guanine dinucleotide biosynthesis protein A
GC_00000567	0.3628956988510275	J	Ribosomal protein S20
GC_00000498	0.7198531899253355	H	"3,4-dihydroxy-2-butanone 4-phosphate synthase|GTP cyclohydrolase II"
GC_00000402	0.5447419678888821	J	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)
GC_00000403	0.3628956988510275	E	Acetylglutamate kinase
GC_00000769	0.3889905975568648	C	Fe-S oxidoreductase
GC_00000401	0.43728735436651395	F	Glutamine phosphoribosylpyrophosphate amidotransferase
GC_00000406	0.43728735436651395	E	Arginine decarboxylase (spermidine biosynthesis)
GC_00000246	0.616378376903795	H	Uroporphyrinogen-III decarboxylase
GC_00000404	0.3628956988510275	J	Isoleucyl-tRNA synthetase
GC_00000405	0.43728735436651395	D	GTPase involved in cell partioning and DNA repair
GC_00000405	0.43728735436651395	L	GTPase involved in cell partioning and DNA repair
GC_00000763	0.8889718685176127	O	NifU homolog involved in Fe-S cluster formation
GC_00000762	0.22148488172629252	F	Deoxycytidine triphosphate deaminase
GC_00000761	0.5028506919776455	H	"Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit"
GC_00000247	0.43728735436651395	I	1-deoxy-D-xylulose 5-phosphate reductoisomerase
GC_00000767	0.5028506919776455	E	Glycine/D-amino acid oxidase (deaminating)
GC_00000766	0.5028506919776455		
GC_00000852	0.16740263250790133	R	ATPase components of ABC transporters with duplicated ATPase domains
GC_00000318	0.43728735436651395	T	Signal transduction histidine kinase
GC_00000610	0.3628956988510275	V	"ABC-type multidrug transport system, ATPase and permease component"
GC_00000124	0.5105518635863108	I	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH
GC_00000319	0.43728735436651395	F	Nucleoside phosphorylase
GC_00000885	0.2351278812057057	P	Fe2+ or Zn2+ uptake regulation protein
GC_00001144	0.061830138635277004	H	"Adenylyl- and sulfurtransferase ThiI, participates in tRNA 4-thiouridine and thiamine biosynthesis|Rhodanese-related sulfurtransferase"
GC_00001144	0.061830138635277004	P	"Adenylyl- and sulfurtransferase ThiI, participates in tRNA 4-thiouridine and thiamine biosynthesis|Rhodanese-related sulfurtransferase"
GC_00001144	0.061830138635277004	J	"Adenylyl- and sulfurtransferase ThiI, participates in tRNA 4-thiouridine and thiamine biosynthesis|Rhodanese-related sulfurtransferase"
GC_00001142	0.061830138635277004	R	"Predicted acylesterase/phospholipase RssA, containd patatin domain"
GC_00000822	0.4185504297622598	J	Ribosomal protein L29
GC_00001285	0.028596331069503027		
GC_00000295	0.43728735436651395	J	tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA
GC_00001049	0.033775625755078205	G	Phosphoheptose isomerase
GC_00001048	0.06533695274530184		
GC_00001042	0.17474955297807723	I	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases
GC_00001449	0.001917515134059222	U	Biopolymer transport protein ExbB/TolQ
GC_00000060	0.5804861678415716	K	"DNA-binding transcriptional regulator, MerR family"
GC_00000061	0.6815023850991703	C	Malic enzyme
GC_00000062	0.5105518635863108	C	"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit"
GC_00000062	0.5105518635863108	P	"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit"
GC_00000063	0.5105518635863108	U	"Type II secretory pathway component GspD/PulD (secretin)|Type II secretory pathway, component HofQ"
GC_00000064	0.5804861678415716	M	"ABC-type transport system, involved in lipoprotein release, permease component"
GC_00000065	0.5804861678415716	F	Phosphoribosylaminoimidazole (AIR) synthetase
GC_00000066	0.5804861678415716	H	GTP cyclohydrolase I
GC_00000067	0.616378376903795	E	Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme
GC_00000068	0.5804861678415716	J	Threonyl-tRNA synthetase
GC_00000069	0.616378376903795	H	Geranylgeranyl pyrophosphate synthase
GC_00000998	0.17474955297807723	C	"Cytochrome c, mono- and diheme variants|Cytochrome c5"
GC_00000991	0.2501779364718848	R	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase
GC_00000991	0.2501779364718848	G	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase
GC_00000991	0.2501779364718848	F	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase
GC_00000992	0.11009665284052815	Q	"ABC-type microcin C transport system, duplicated ATPase component YejF"
GC_00000131	0.616378376903795	R	ATPase components of ABC transporters with duplicated ATPase domains
GC_00000186	0.5105518635863108	J	Ribosomal protein L10
GC_00000509	0.43728735436651395	G	Pentose-5-phosphate-3-epimerase
GC_00000204	0.5105518635863108	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
GC_00000205	0.5105518635863108		
GC_00000206	0.43728735436651395	E	"O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent"
GC_00000207	0.5105518635863108	P	Polyphosphate kinase
GC_00000200	0.5105518635863108	E	N-acetylglutamate synthase (N-acetylornithine aminotransferase)
GC_00000201	0.5105518635863108	E	Homoserine kinase
GC_00000202	0.5105518635863108	O	Thiol:disulfide interchange protein
GC_00000203	0.5804861678415716	K	"Transcription antitermination factor NusA, contains S1 and KH domains"
GC_00000619	0.8889718685176127	E	"NADPH-dependent glutamate synthase beta chain or related oxidoreductase|NADPH-dependent glutamate synthase beta chain or related oxidoreductase|NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"
GC_00000619	0.8889718685176127	C	"NADPH-dependent glutamate synthase beta chain or related oxidoreductase|NADPH-dependent glutamate synthase beta chain or related oxidoreductase|NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"
GC_00000619	0.8889718685176127	R	"NADPH-dependent glutamate synthase beta chain or related oxidoreductase|NADPH-dependent glutamate synthase beta chain or related oxidoreductase|NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)"
GC_00000618	0.3628956988510275	I	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
GC_00000208	0.5804861678415716	U	Signal peptidase I
GC_00000209	0.616378376903795	J	Ribosome maturation factor RimP
GC_00000194	0.5804861678415716	I	Acetyl-CoA carboxylase beta subunit
GC_00000195	0.6815023850991703	L	Superfamily II DNA and RNA helicase
GC_00000196	0.5105518635863108	C	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
GC_00000197	0.5804861678415716	M	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
GC_00000190	0.43728735436651395	Q	"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component"
GC_00000191	0.43728735436651395	R	Predicted Zn-dependent peptidase
GC_00000192	0.5105518635863108	M	"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase"
GC_00000193	0.5105518635863108	H	3-polyprenyl-4-hydroxybenzoate decarboxylase|3-polyprenyl-4-hydroxybenzoate decarboxylase
GC_00000198	0.3628956988510275	F	AICAR transformylase/IMP cyclohydrolase PurH
GC_00000199	0.5105518635863108	H	S-adenosylmethionine synthetase
GC_00000929	0.11009665284052815	E	"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
GC_00000929	0.11009665284052815	P	"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
GC_00001059	0.06533695274530184	T	K+-sensing histidine kinase KdpD
GC_00000299	0.616378376903795	D	"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family"
GC_00000299	0.616378376903795	T	"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family"
GC_00000299	0.616378376903795	M	"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family"
GC_00000298	0.5105518635863108		
GC_00000921	0.3329532404358676	E	Na+/proline symporter
GC_00000296	0.6815023850991703	U	Sec-independent protein translocase protein TatA
GC_00000923	0.3329532404358676		
GC_00000294	0.3628956988510275	R	Cytosine/adenosine deaminase or related metal-dependent hydrolase
GC_00000294	0.3628956988510275	F	Cytosine/adenosine deaminase or related metal-dependent hydrolase
GC_00000293	0.43728735436651395	E	Dihydrodipicolinate reductase
GC_00000292	0.43728735436651395	J	Ribosomal protein L11
GC_00000927	0.3329532404358676	R	"Protein affecting phage T7 exclusion by the F plasmid, UPF0716 family"
GC_00000290	0.775570396936934	E	Glycine/D-amino acid oxidase (deaminating)
GC_00000842	0.4185504297622598	M	Prolipoprotein diacylglyceryltransferase
GC_00000843	0.4185504297622598	R	Choline dehydrogenase or related flavoprotein
GC_00000843	0.4185504297622598	I	Choline dehydrogenase or related flavoprotein
GC_00000664	0.22148488172629252	P	"ABC-type Mn2+/Zn2+ transport system, ATPase component"
GC_00000841	0.4185504297622598	L	Site-specific recombinase XerD
GC_00000846	0.3101643783424778	S	Uncharacterized membrane protein YadS
GC_00000663	0.22148488172629252	S	"Uncharacterized conserved protein, DUF58 family, contains vWF domain"
GC_00000660	0.29000994729334484	E	"N-acetylglutamate synthase or related acetyltransferase, GNAT family"
GC_00000661	0.3101643783424778	C	"Desulfoferrodoxin, superoxide reductase-like (SORL) domain"
GC_00000107	0.616378376903795	G	3-phosphoglycerate kinase
GC_00000106	0.5804861678415716	U	Preprotein translocase subunit SecF
GC_00000105	0.5105518635863108	O	ATP-dependent Zn proteases
GC_00000849	0.1081430398973223	L	Exonuclease VII small subunit
GC_00000103	0.5105518635863108	E	Imidazole glycerol phosphate synthase subunit HisF
GC_00000102	0.5804861678415716	O	"Regulator of protease activity HflC, stomatin/prohibitin superfamily"
GC_00000101	0.5105518635863108	E	Glutamine synthetase
GC_00000100	0.5804861678415716	T	"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
GC_00000338	0.43728735436651395	J	"Predicted rRNA methylase YqxC, contains S4 and FtsJ domains"
GC_00000339	0.5105518635863108	I	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
GC_00000448	0.43728735436651395	W	"Type II secretory pathway, component PulF"
GC_00000448	0.43728735436651395	U	"Type II secretory pathway, component PulF"
GC_00000448	0.43728735436651395	N	"Type II secretory pathway, component PulF"
GC_00000449	0.5028506919776455	J	Ribosomal protein L16/L10AE
GC_00000446	0.616378376903795	R	"SAM-dependent methyltransferase, MidA family"
GC_00000447	0.43728735436651395	M	UDP-N-acetylmuramoylalanine-D-glutamate ligase
GC_00000444	0.43728735436651395	M	Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase
GC_00000445	0.3628956988510275	H	Quinolinate synthase
GC_00000334	0.8560508070647991	C	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)
GC_00000335	0.3628956988510275	G	"Fructose-1,6-bisphosphatase"
GC_00000440	0.43728735436651395	H	Panthothenate synthetase
GC_00000441	0.3628956988510275		
GC_00000727	0.16009138406893367	R	Predicted amidophosphoribosyltransferases
GC_00000724	0.3889905975568648	H	Ubiquinone/menaquinone biosynthesis C-methylase UbiE
GC_00000723	0.3889905975568648	J	Ribosomal protein L14
GC_00000721	0.3889905975568648	J	Ribosomal protein L24
GC_00000720	0.22148488172629252	O	ATP-dependent Zn proteases
GC_00000680	0.3329532404358676	R	Predicted metal-dependent hydrolase
GC_00000681	0.29000994729334484	K	"DNA-binding transcriptional regulator, LysR family"
GC_00000682	0.1081430398973223	G	N-acetylglucosamine-6-phosphate deacetylase
GC_00000683	0.29000994729334484	L	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake
GC_00000684	0.29000994729334484	S	"Uncharacterized conserved protein, DUF2062 family"
GC_00000967	0.06533695274530184		
GC_00000729	0.22148488172629252	S	"Uncharacterized membrane protein YckC, RDD family"
GC_00000728	0.3889905975568648		
GC_00000651	0.3889905975568648	L	RecG-like helicase
GC_00000961	0.028596331069503027	S	"Uncharacterized conserved protein, DUF302 family"
GC_00000123	0.5105518635863108	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
GC_00000530	0.29000994729334484	J	Histidyl-tRNA synthetase
GC_00000531	0.46817511776768067	C	"FoF1-type ATP synthase, alpha subunit"
GC_00000963	0.11092553617562496		
GC_00000254	0.6815023850991703	U	Sec-independent protein translocase protein TatA
GC_00001411	0.00984905500675873	L	"Predicted endonuclease, GIY-YIG superfamily"
GC_00001001	0.014353270684171325	S	"Uncharacterized conserved protein, DUF302 family"
GC_00001000	0.03736214018578543	O	"Regulator of protease activity HflC, stomatin/prohibitin superfamily"
GC_00001002	0.17474955297807723	C	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)|Ferredoxin
GC_00000532	0.46817511776768067	R	"Predicted methyltransferase, contains TPR repeat"
GC_00000533	0.29000994729334484	E	Diaminopimelate epimerase
GC_00000439	0.43728735436651395	F	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
GC_00000438	0.3628956988510275	S	"Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)"
GC_00000536	0.3628956988510275		
GC_00000537	0.43728735436651395	E	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
GC_00000537	0.43728735436651395	M	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
GC_00000534	0.3889905975568648	F	"Dimeric dUTPase, all-alpha-NTP-PPase (MazG) superfamily"
GC_00000535	0.43728735436651395	J	tRNA A37 methylthiotransferase MiaB
GC_00000492	0.616378376903795	M	3-deoxy-D-manno-octulosonic-acid transferase
GC_00000432	0.3628956988510275	R	"Predicted RNA-binding protein, contains S1 domains,  virulence factor B family"
GC_00000431	0.5825527580721922	K	"Cold shock protein, CspA family"
GC_00000430	0.43728735436651395	S	Uncharacterized protein
GC_00000437	0.43728735436651395	J	"Pseudouridylate synthase, 23S rRNA- or tRNA-specific"
GC_00000436	0.3628956988510275	E	Isocitrate/isopropylmalate dehydrogenase
GC_00000436	0.3628956988510275	C	Isocitrate/isopropylmalate dehydrogenase
GC_00000435	0.43728735436651395	U	Biopolymer transport protein ExbD
GC_00000434	0.5447419678888821	L	Holliday junction resolvasome RuvABC DNA-binding subunit
GC_00000914	0.2501779364718848	J	"Wyosine [tRNA(Phe)-imidazoG37] synthetase, radical SAM superfamily"
GC_00000539	0.3628956988510275	E	Zn-dependent oligopeptidase
GC_00000088	0.5804861678415716	M	Apolipoprotein N-acyltransferase
GC_00000089	0.5804861678415716	H	Phosphopantothenoylcysteine synthetase/decarboxylase
GC_00000178	0.5105518635863108	C	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
GC_00000917	0.2501779364718848	R	Predicted metalloprotease
GC_00000560	0.46817511776768067	M	"Lipopolysaccharide biosynthesis regulator YciM, contains six TPR domains and a predicted metal-binding C-terminal domain"
GC_00000910	0.06711716808999836		
GC_00000911	0.004492690417403219	P	Truncated hemoglobin YjbI
GC_00000912	0.11009665284052815	S	"Uncharacterized conserved protein YaiI, UPF0178 family"
GC_00000169	0.5105518635863108		
GC_00000913	0.2501779364718848	T	"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
GC_00000913	0.2501779364718848	K	"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
GC_00000168	0.5105518635863108	C	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
GC_00000679	0.29000994729334484		
GC_00000892	0.2351278812057057	L	DNA mismatch repair ATPase MutS|5-methylcytosine-specific restriction endonuclease McrA
GC_00000892	0.2351278812057057	V	DNA mismatch repair ATPase MutS|5-methylcytosine-specific restriction endonuclease McrA
GC_00000895	0.4185504297622598		
GC_00001253	0.004492690417403219	P	"ABC-type phosphate transport system, periplasmic component"
GC_00000566	0.5447419678888821	R	Predicted CoA-binding protein
GC_00000768	0.22148488172629252	E	Na+/alanine symporter
GC_00000853	0.06711716808999836	P	Exopolyphosphatase/pppGpp-phosphohydrolase
GC_00000853	0.06711716808999836	T	Exopolyphosphatase/pppGpp-phosphohydrolase
GC_00000853	0.06711716808999836	F	Exopolyphosphatase/pppGpp-phosphohydrolase
GC_00000718	0.6553385291750634	E	Threonine synthase
GC_00000644	0.9181760359354315	J	Lysyl-tRNA synthetase (class II)
GC_00000407	0.43728735436651395	H	Aspartate oxidase
GC_00000150	0.46817511776768067	L	Superfamily II DNA helicase RecQ
GC_00000151	0.5804861678415716	U	Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase
GC_00000151	0.5804861678415716	N	Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase
GC_00000152	0.5804861678415716	U	Preprotein translocase subunit SecD
GC_00000153	0.5105518635863108	L	Superfamily II RNA helicase
GC_00000154	0.6815023850991703	J	Peptidyl-tRNA hydrolase
GC_00000155	0.5105518635863108	W	"Type II secretory pathway, component PulF"
GC_00000155	0.5105518635863108	U	"Type II secretory pathway, component PulF"
GC_00000155	0.5105518635863108	N	"Type II secretory pathway, component PulF"
GC_00000156	0.43728735436651395	H	Molybdenum cofactor biosynthesis enzyme MoaA
GC_00001101	0.11092553617562496	R	"Predicted class III extradiol dioxygenase, MEMO1 family"
GC_00000158	0.43728735436651395	I	Phosphatidylserine decarboxylase
GC_00000159	0.5447419678888821		
GC_00000093	0.6553385291750634	C	Anaerobic selenocysteine-containing dehydrogenase
GC_00000092	0.5105518635863108	L	Transcription-repair coupling factor (superfamily II helicase)
GC_00000092	0.5105518635863108	K	Transcription-repair coupling factor (superfamily II helicase)
GC_00000095	0.616378376903795	J	Glutamyl- or glutaminyl-tRNA synthetase|Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit
GC_00000094	0.5804861678415716	M	"Membrane protein insertase Oxa1/YidC/SpoIIIJ, required for the localization of integral membrane proteins"
GC_00000097	0.43728735436651395	H	Geranylgeranyl pyrophosphate synthase
GC_00000096	0.5105518635863108	M	Outer membrane protein TolC
GC_00000328	0.5105518635863108	M	"ABC-type lipopolysaccharide export system, ATPase component"
GC_00000823	0.007069887532581243	S	"Uncharacterized conserved protein YdiU, UPF0061 family"
GC_00000408	0.43728735436651395	M	UDP-N-acetylmuramate-alanine ligase
GC_00000121	0.43728735436651395	J	RNA polymerase-binding transcription factor DksA
GC_00000409	0.6815023850991703	J	Translation elongation factor EF-Ts
GC_00000808	0.2351278812057057	H	Dihydroneopterin aldolase
GC_00000120	0.5804861678415716	M	UDP-N-acetylmuramyl pentapeptide synthase
GC_00000807	0.5028506919776455	H	Nicotinamide mononucleotide (NMN) deamidase PncC
GC_00000805	0.1081430398973223	G	Phosphotransferase system IIA component
GC_00000802	0.16009138406893367	T	"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
GC_00000802	0.16009138406893367	K	"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
GC_00000048	0.5804861678415716	G	Transaldolase
GC_00000801	0.9435626651286987	C	"NADH dehydrogenase, FAD-containing subunit"
GC_00000598	0.5447419678888821	U	Biopolymer transport protein ExbB/TolQ
GC_00000049	0.43728735436651395	L	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)
GC_00000028	0.5105518635863108	E	Carbamoylphosphate synthase large subunit
GC_00000028	0.5105518635863108	F	Carbamoylphosphate synthase large subunit
GC_00000029	0.5804861678415716	U	Sec-independent protein secretion pathway component TatC
GC_00000599	0.29000994729334484	T	Signal transduction histidine kinase
GC_00000024	0.5804861678415716	E	Glutamate synthase domain 1|Glutamate synthase domain 2|Glutamate synthase domain 3
GC_00000025	0.5105518635863108	L	"Single-stranded DNA-specific exonuclease, DHH superfamily, may be involved in archaeal DNA replication intiation"
GC_00000026	0.5804861678415716	U	"Preprotein translocase subunit SecA (ATPase, RNA helicase)"
GC_00000027	0.5804861678415716	H	Pimeloyl-ACP methyl ester carboxylesterase
GC_00000027	0.5804861678415716	R	Pimeloyl-ACP methyl ester carboxylesterase
GC_00000020	0.5804861678415716	L	Superfamily II DNA and RNA helicase
GC_00000021	0.6553385291750634	T	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases
GC_00000022	0.5804861678415716	O	Molecular chaperone DnaK (HSP70)
GC_00000023	0.5105518635863108	J	"Translation elongation factor EF-4, membrane-bound GTPase"
GC_00000374	0.5105518635863108	E	Phosphoribosylpyrophosphate synthetase
GC_00000374	0.5105518635863108	F	Phosphoribosylpyrophosphate synthetase
GC_00000375	0.6815023850991703	J	Leucyl-tRNA synthetase
GC_00000376	0.6815023850991703	R	Predicted Zn-dependent peptidase
GC_00000377	0.5105518635863108	F	"Aspartate carbamoyltransferase, catalytic chain"
GC_00000370	0.616378376903795	I	"NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase"
GC_00000371	0.5825527580721922	I	Long-chain fatty acid transport protein
GC_00000372	0.3628956988510275	T	"S-ribosylhomocysteine lyase LuxS, autoinducer biosynthesis"
GC_00000373	0.5105518635863108	J	Ribosome recycling factor
GC_00000275	0.5105518635863108	H	"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)"
GC_00000274	0.5105518635863108	P	Ca2+/Na+ antiporter
GC_00000277	0.43728735436651395	K	Transcription antitermination factor NusG
GC_00000276	0.616378376903795	J	Translation initiation factor IF-1
GC_00000378	0.5447419678888821	D	Cell division GTPase FtsZ
GC_00000379	0.43728735436651395	L	"Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit"
GC_00000273	0.5804861678415716	R	Predicted amidohydrolase
GC_00000272	0.6553385291750634	P	Cation transport ATPase|Copper chaperone CopZ
GC_00000042	0.5105518635863108	J	"Translation initiation factor IF-2, a GTPase"
GC_00000325	0.5105518635863108	J	tRNA-dihydrouridine synthase
GC_00000043	0.5804861678415716	O	"ATP-dependent protease ClpP, protease subunit"
GC_00000456	0.3628956988510275	J	"tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family"
GC_00000828	0.5028506919776455	O	Co-chaperonin GroES (HSP10)
GC_00000699	0.46817511776768067	C	"FoF1-type ATP synthase, gamma subunit"
GC_00000796	0.3101643783424778	E	"Saccharopine dehydrogenase, NADP-dependent"
GC_00000797	0.3101643783424778	K	Transcriptional and/or translational regulatory protein YebC/TACO1
GC_00000797	0.3101643783424778	J	Transcriptional and/or translational regulatory protein YebC/TACO1
GC_00000794	0.3329532404358676	U	Biopolymer transport protein ExbB/TolQ
GC_00000878	0.06711716808999836		
GC_00000792	0.16009138406893367	L	"Exonuclease VII, large subunit"
GC_00000974	0.11009665284052815	C	"Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit"
GC_00000791	0.16009138406893367	M	N-acetyl-anhydromuramyl-L-alanine amidase AmpD
GC_00000873	0.03736214018578543	C	"Phosphoglycolate phosphatase, HAD superfamily"
GC_00000872	0.2351278812057057	S	"Uncharacterized membrane protein DedA, SNARE-associated domain"
GC_00000655	0.3889905975568648	J	16S rRNA U1498 N3-methylase RsmE
