genome_id,location,vent_field,vent,sample_number,bin_number,bin_id,genus,length,num_contigs,N50,GC_content,completion,redundancy,number_genes,abundance,relative_abundance,mean_coverage,std_coverage,normalized_coverage,number_SNVs,norm_SNV
Sulfurovum_11,Axial,Marker 113,,FS903,Bin_5,FS903-Bin_5,Sulfurovum,894463,168,5666,35.10393056,83.45323741,2.158273381,1031,0.522711056,0.078311222,8.321914995,3.276420298,9.30E-06,1391,0.001555123
Sulfurovum_12,Axial,N3 Area,,FS898,Bin_12,FS898-Bin_12,Sulfurovum,1550985,163,12047,36.20534003,96.4028777,0.71942446,1614,1.180526934,0.442357731,19.93928127,5.932811491,1.29E-05,16982,0.010949171
Sulfurovum_13,Axial,N3 Area,,FS898,Bin_1,FS898-Bin_1,Sulfurovum,1591765,164,11987,34.05104816,96.4028777,0.71942446,1674,0.748135938,0.062577023,12.63613091,4.485316818,7.94E-06,4750,0.002984109
Sulfurovum_14,MCR,Von Damm,Shrimp Hole,FS844,Bin_43,FS844-Bin_43,Sulfurovum,1918793,239,10177,34.57601823,97.12230216,1.438848921,2135,4.6610303,0.998340905,246.6464148,53.1449384,0.000128542,22929,0.0119497
Sulfurovum_15,MCR,Von Damm,Shrimp Hole,FS844,Bin_13,FS844-Bin_13,Sulfurovum,1767871,212,12779,38.54371238,92.8057554,5.755395683,1908,0.633038045,0.103674036,33.49829422,9.661248064,1.89E-05,23271,0.013163291
Sulfurovum_16,MCR,Piccard,"X-19 at BV 4, BVM",FS854,Bin_99,FS854-Bin_99,Sulfurovum,1870573,152,18565,35.75896561,92.08633094,2.158273381,2030,24.40983094,0.583476181,2441.164561,500.7179301,0.001305036,7496,0.004007328
Sulfurovum_17,MCR,Piccard,"X-19 at BV 4, BVM",FS854,Bin_7,FS854-Bin_7,Sulfurovum,1625685,132,18714,39.35015843,90.64748201,5.755395683,1755,0.189695239,0.025706067,18.97093413,9.150783395,1.17E-05,8228,0.005061251
Sulfurovum_18,MCR,Piccard,"X-19 at BV 4, BVM",FS854,Bin_9,FS854-Bin_9,Sulfurovum,1826106,241,9032,38.66015472,75.53956835,4.316546763,2015,1.202850137,0.051959327,120.2939559,35.82602561,6.59E-05,25288,0.013848046
Sulfurovum_19,MCR,Piccard,"Shrimp Gulley 2, BSM",FS856,Bin_37,FS856-Bin_37,Sulfurovum,1934456,168,17281,36.25070269,94.24460432,4.316546763,2065,4.748883708,0.391032367,1059.147475,190.5529884,0.000547517,9020,0.00466281
Sulfurovum_20,MCR,Von Damm,near Main Orifice,FS866,Bin_31,FS866-Bin_31,Sulfurovum,1835174,321,6559,34.36028648,74.82014388,4.316546763,2095,1.427626691,0.061599833,71.35271193,24.39073531,3.89E-05,68576,0.037367574
Sulfurovum_21,MCR,Von Damm,Old Man Tree,FS881,Bin_43,FS881-Bin_43,Sulfurovum,1943705,167,16326,38.89695984,90.64748201,2.877697842,2057,0.474897832,0.028714285,112.9801979,33.14022956,5.81E-05,36544,0.018801207
Sulfurovum_22,MCR,Von Damm,Old Man Tree,FS881,Bin_45,FS881-Bin_45,Sulfurovum,1736799,161,14653,35.74327772,79.85611511,1.438848921,1915,1.147614115,0.975443449,273.0222399,63.34217899,0.000157199,19433,0.011188975
